Oei Tiong Ham Park,Oei Tiong Ham Park,Available from 1 Jun,15000,4,4,5199 sqft,S$ 2.89 psf,Condominium,Partially Furnished,,46m
Gorgeously Renovated Cosy Semi-D,Jalan Waringin,Ready to move,1300,,,200 sqft,S$ 6.50 psf,Semi-Detached House,Fully Furnished,1998,46m
Rare 1 Bedder Loft Apartment @ Upper East Coast,Upper East Coast Road,Ready to move,1750,1,1,420 sqft,S$ 4.17 psf,Apartment,Fully Furnished,1983,46m
Commonwealth Towers,232 Commonwealth Avenue,Ready to move,2700,1,1,452 sqft,S$ 5.97 psf,Condominium,Fully Furnished,2017,47m
The Nautical,97 Jalan Sendudok,Ready to move,2500,3,2,969 sqft,S$ 2.58 psf,Condominium,Fully Furnished,2016,47m
J Gateway,2 Gateway Drive,,2400,1,1,474 sqft,S$ 5.06 psf,Condominium,,2017,47m
162 Bukit Batok Street 11,162 Bukit Batok Street 11,Available from 23 Mar,1700,2,2,721 sqft,S$ 2.36 psf,HDB Apartment,Partially Furnished,,47m
Wallich Residence,3 Wallich Street,Ready to move,7800,2,2,958 sqft,S$ 8.14 psf,Condominium,Partially Furnished,2016,47m
One Devonshire,1 Devonshire Road,Available from 21 Mar,7800,4,4,1496 sqft,S$ 5.21 psf,Condominium,Partially Furnished,2012,47m
The Loft,22 Nassim Hill,Available from 1 Apr,4800,2,2,1033 sqft,S$ 4.65 psf,Condominium,Partially Furnished,2002,47m
Sage,11B Nassim Road,Ready to move,16800,4,4,2900 sqft,S$ 5.79 psf,Condominium,Partially Furnished,2013,47m
Eight Courtyards,6 Canberra Drive,Ready to move,2200,2,2,861 sqft,S$ 2.56 psf,Condominium,Partially Furnished,2014,47m
Parc Emily,11 Mount Emily Road,Ready to move,4500,2,2,1098 sqft,S$ 4.10 psf,Condominium,Fully Furnished,2008,47m
Valley Park,483 River Valley Road,Ready to move,4200,2,2,1109 sqft,S$ 3.79 psf,Condominium,Fully Furnished,1997,47m
The Mercury,38 Shanghai Road,Ready to move,4300,2,2,1044 sqft,S$ 4.12 psf,Condominium,Fully Furnished,2014,47m
The Pier @ Robertson,80 Mohamed Sultan Road,Ready to move,4000,1,1,743 sqft,S$ 5.38 psf,Apartment,Fully Furnished,2006,47m
Nineteen Shelford,19 Shelford Road,Ready to move,2600,1,1,715 sqft,S$ 3.64 psf,Condominium,Fully Furnished,1997,48m
4 Queen's Road,4 Queen's Road,Available from 1 Apr,1950,2,1,678 sqft,S$ 2.88 psf,HDB Apartment,Fully Furnished,,48m
Cabana,235 Sunrise Terrace,Ready to move,1300,,,150 sqft,S$ 8.67 psf,Cluster House,Fully Furnished,2015,48m
The Rivervale,1 Rivervale Link,Ready to move,2700,3,2,1313 sqft,S$ 2.06 psf,Condominium,Fully Furnished,2001,48m
433 Clementi Avenue 3,433 Clementi Avenue 3,Ready to move,1000,,,200 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,48m
commonwealth towers,,Ready to move,3900,2,2,689 sqft,S$ 5.66 psf,Condominium,Partially Furnished,,48m
Residences at 338A,338A River Valley Road,Ready to move,4500,3,3,1206 sqft,S$ 3.73 psf,Apartment,Partially Furnished,2004,48m
Prestige Heights,348 Balestier Road,Ready to move,2000,,,380 sqft,S$ 5.26 psf,Apartment,Fully Furnished,2013,48m
Reflections @ Keppel Bay,29 Keppel Bay View,Ready to move,5200,2,2,1087 sqft,S$ 4.78 psf,Condominium,Partially Furnished,2013,48m
Jewel @ Buangkok,Buangkok Drive,Ready to move,3100,3,2,1141 sqft,S$ 2.72 psf,Condominium,Fully Furnished,2017,48m
433 Clementi Avenue 3,433 Clementi Avenue 3,Ready to move,1000,,,200 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,48m
commonwealth towers,,Ready to move,3900,2,2,689 sqft,S$ 5.66 psf,Condominium,Partially Furnished,,49m
Residences at 338A,338A River Valley Road,Ready to move,4500,3,3,1206 sqft,S$ 3.73 psf,Apartment,Partially Furnished,2004,49m
Prestige Heights,348 Balestier Road,Ready to move,2000,,,380 sqft,S$ 5.26 psf,Apartment,Fully Furnished,2013,49m
Reflections @ Keppel Bay,29 Keppel Bay View,Ready to move,5200,2,2,1087 sqft,S$ 4.78 psf,Condominium,Partially Furnished,2013,49m
Jewel @ Buangkok,Buangkok Drive,Ready to move,3100,3,2,1141 sqft,S$ 2.72 psf,Condominium,Fully Furnished,2017,49m
276B Jurong West Avenue 3,276B Jurong West Avenue 3,Available from 1 Apr,2100,3,2,1216 sqft,S$ 1.73 psf,HDB Apartment,Fully Furnished,,49m
19 Ghim Moh Road,19 Ghim Moh Road,Ready to move,750,,,150 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,49m
Oue Twin Peaks,33 Leonie Hill Road,Available from 8 Mar,3500,1,1,571 sqft,S$ 6.13 psf,Condominium,Fully Furnished,2014,50m
Reflections @ Keppel Bay,31 Keppel Bay View,Ready to move,8000,3,3,1841 sqft,S$ 4.35 psf,Condominium,Partially Furnished,2013,50m
Heron Bay,Upper Serangoon View,Available from 30 Mar,1500,,,350 sqft,S$ 4.29 psf,Executive Condominium,Partially Furnished,,50m
8 @ Mount Sophia,10 Mount Sophia,Ready to move,4600,2,2,1160 sqft,S$ 3.97 psf,Condominium,Partially Furnished,2007,50m
Kingsford Waterbay,78 Upper Serangoon View,Ready to move,2600,3,2,850 sqft,S$ 3.06 psf,Condominium,Partially Furnished,2017,50m
Prime Residence,41 Lorong 22 Geylang,Available from 1 May,1900,2,1,527 sqft,S$ 3.61 psf,Condominium,Fully Furnished,2014,51m
Parkview Apartments,1 Bukit Batok Street 25,Available from 18 May,2400,2,2,926 sqft,S$ 2.59 psf,Apartment,Fully Furnished,1998,51m
76 Shenton,76 Shenton Way,Ready to move,3800,1,1,624 sqft,S$ 6.09 psf,Apartment,Fully Furnished,2014,51m
Gilstead Two,2 Gilstead Road,Ready to move,4000,2,2,775 sqft,S$ 5.16 psf,Apartment,Partially Furnished,2014,51m
Tribeca By The Waterfront,60 Kim Seng Road,Ready to move,5500,3,3,1378 sqft,S$ 3.99 psf,Condominium,Partially Furnished,2010,51m
Sanctuary Green,181 Tanjong Rhu Road,Available from 15 Apr,1400,,,200 sqft,S$ 7.00 psf,Condominium,Fully Furnished,2003,51m
557 Ang Mo Kio Avenue 10,557 Ang Mo Kio Avenue 10,Ready to move,400,,,180 sqft,S$ 2.22 psf,HDB Apartment,Fully Furnished,,51m
76 Shenton,76 Shenton Way,Available from 22 Dec,3700,1,1,624 sqft,S$ 5.93 psf,Apartment,Fully Furnished,2014,51m
672A Choa Chu Kang Crescent,672A Choa Chu Kang Crescent,Ready to move,750,,,100 sqft,S$ 7.50 psf,HDB Apartment,Fully Furnished,,52m
248922,,Ready to move,19500,4,3,3500 sqft 15000 sqft (land),S$ 1.30 psf,Conservation House,,,52m
Eco,273 Bedok South Avenue 3,Ready to move,2500,1,1,680 sqft,S$ 3.68 psf,Condominium,,2017,52m
17 Tiong Bahru Road,17 Tiong Bahru Road,Available from 1 May,4200,2,1,947 sqft,S$ 4.44 psf,HDB Apartment,Fully Furnished,,53m
Asimont Villas,11 Asimont Lane,Ready to move,11000,4,4,5392 sqft,S$ 2.04 psf,Cluster House,Partially Furnished,,53m
863 Yishun Avenue 4,Yishun Ave 4,Ready to move,630,,,1050 sqft,S$ 0.60 psf,HDB Apartment,Fully Furnished,,53m
One Amber,1 Amber Gardens,Available from 16 Mar,3500,2,2,958 sqft,S$ 3.65 psf,Condominium,Partially Furnished,2010,53m
Chestnut Ville,2 - 60 Jalan Pakis,Available from 30 May,4500,3,3,2077 sqft,S$ 2.17 psf,Condominium,,1984,53m
Emerald Hill Conservation Area,Emerald Hill Road,Available from 29 May,18500,5,5,6200 sqft 2500 sqft (land),S$ 7.40 psf,Conservation House,Partially Furnished,,53m
Eco,273 Bedok South Avenue 3,Ready to move,2500,1,1,680 sqft,S$ 3.68 psf,Condominium,,2017,53m
17 Tiong Bahru Road,17 Tiong Bahru Road,Available from 1 May,4200,2,1,947 sqft,S$ 4.44 psf,HDB Apartment,Fully Furnished,,53m
Asimont Villas,11 Asimont Lane,Ready to move,11000,4,4,5392 sqft,S$ 2.04 psf,Cluster House,Partially Furnished,,53m
863 Yishun Avenue 4,Yishun Ave 4,Ready to move,630,,,1050 sqft,S$ 0.60 psf,HDB Apartment,Fully Furnished,,54m
One Amber,1 Amber Gardens,Available from 16 Mar,3500,2,2,958 sqft,S$ 3.65 psf,Condominium,Partially Furnished,2010,54m
Chestnut Ville,2 - 60 Jalan Pakis,Available from 30 May,4500,3,3,2077 sqft,S$ 2.17 psf,Condominium,,1984,54m
Emerald Hill Conservation Area,Emerald Hill Road,Available from 29 May,18500,5,5,6200 sqft 2500 sqft (land),S$ 7.40 psf,Conservation House,Partially Furnished,,54m
The Draycott,50 Draycott Park,Ready to move,6500,4,4,2650 sqft,S$ 2.45 psf,Apartment,,1980,54m
The Sail @ Marina Bay,2 Marina Boulevard,Ready to move,1900,,,140 sqft,S$ 13.57 psf,Apartment,Fully Furnished,2008,54m
High Profile Business Man’s Favourite Family Home - Newly Renovated Stunning GCB with Swimming Pool,Brizay Park,Ready to move,29500,7,7,18000 sqft 21000 sqft (land),S$ 1.40 psf,Good Class Bungalow,Partially Furnished,,54m
150 Rivervale Crescent,150 Rivervale Crescent,Ready to move,650,,,50 sqft,S$ 13.00 psf,HDB Apartment,Fully Furnished,,54m
The Esparis,7 Pasir Ris Drive 4,Available from 1 Apr,2800,3,2,1174 sqft,S$ 2.39 psf,Condominium,Partially Furnished,2006,55m
Bartley Ridge,47 Mount Vernon Road,Ready to move,2900,2,2,828 sqft,S$ 3.50 psf,Condominium,Partially Furnished,2016,55m
606 Clementi West Street 1,606 Clementi West Street 1,Ready to move,2800,3,2,1280 sqft,S$ 2.19 psf,HDB Apartment,Partially Furnished,,55m
Parc Elegance,15 Telok Kurau Road,Ready to move,2000,1,1,431 sqft,S$ 4.64 psf,Condominium,Fully Furnished,2013,55m
Student Accommodation,Stirling road,Ready to move,650,1,2,180 sqft,S$ 3.61 psf,Apartment,Fully Furnished,,55m
Mill Point,3 Zion Close,Available from 7 Mar,2600,1,1,539 sqft,S$ 4.82 psf,Condominium,Fully Furnished,2004,55m
121 Pending Road,121 Pending Road,Ready to move,750,,,200 sqft,S$ 3.75 psf,HDB Apartment,Fully Furnished,,55m
Esta Ruby,500 Guillimard Road,Ready to move,3000,2,2,958 sqft,S$ 3.13 psf,Condominium,Partially Furnished,2010,55m
Seasons View,5 Pemimpin Drive,Ready to move,3200,3,3,1141 sqft,S$ 2.80 psf,Condominium,Fully Furnished,2000,55m
The Bencoolen,180A Bencoolen Street,Ready to move,3500,2,2,938 sqft,S$ 3.73 psf,Apartment,Fully Furnished,1998,56m
Parc Vista,450 Corporation Road,Available from 1 Apr,3000,2,2,1055 sqft,S$ 2.84 psf,Condominium,Fully Furnished,2000,56m
The Blossomvale,900 Dunearn Road,Ready to move,4500,3,3,1324 sqft,S$ 3.40 psf,Condominium,Partially Furnished,1999,56m
J Gateway,2 Gateway Drive,Available from 15 Apr,3000,2,2,678 sqft,S$ 4.42 psf,Condominium,Partially Furnished,2017,56m
J Gateway,2 Gateway Drive,Available from 1 Apr,4000,3,2,893 sqft,S$ 4.48 psf,Condominium,Fully Furnished,2017,56m
The Inspira,11 Arnasalam Chetty Road,Ready to move,4500,2,2,947 sqft,S$ 4.75 psf,Condominium,Partially Furnished,2009,56m
Yew Mei Green,50 Choa Chu Kang North 6,Available from 21 May,2600,3,3,1300 sqft,S$ 2.00 psf,Condominium,Fully Furnished,2000,56m
Palazzetto,8C Tanjong Rhu Road,Available from 1 Apr,2500,2,2,818 sqft,S$ 3.06 psf,Apartment,Fully Furnished,2003,56m
North Park Residences,15 Yishun Central 1,Ready to move,1700,,,430 sqft,S$ 3.95 psf,Condominium,Partially Furnished,2020,56m
Chantilly Rise,82 Hillview Avenue,Ready to move,2900,3,3,1539 sqft,S$ 1.88 psf,Condominium,Partially Furnished,1999,56m
Palazzetto,8C Tanjong Rhu Road,Available from 1 Apr,2500,2,2,818 sqft,S$ 3.06 psf,Apartment,Fully Furnished,2003,56m
North Park Residences,15 Yishun Central 1,Ready to move,1700,,,430 sqft,S$ 3.95 psf,Condominium,Partially Furnished,2020,56m
Chantilly Rise,82 Hillview Avenue,Ready to move,2900,3,3,1539 sqft,S$ 1.88 psf,Condominium,Partially Furnished,1999,56m
Northvale,61 Choa Chu Kang Loop,Available from 1 Apr,2400,2,3,1033 sqft,S$ 2.32 psf,Apartment,Fully Furnished,1998,56m
459 Clementi Avenue 3,459 Clementi Avenue 3,Available from 1 Apr,3200,3,2,1185 sqft,S$ 2.70 psf,HDB Apartment,,,57m
Symphony Suites,3 Yishun Close,Ready to move,2400,3,2,915 sqft,S$ 2.62 psf,Condominium,,,57m
Compass Heights,11 Sengkang Square,Ready to move,3500,4,3,1550 sqft,S$ 2.26 psf,Condominium,Partially Furnished,2003,57m
Metro Loft,5 Lorong 27 Geylang,Available from 10 Mar,1900,1,1,484 sqft,S$ 3.93 psf,Condominium,Fully Furnished,2015,57m
250 Pasir Ris Street 21,250 Pasir Ris Street 21,Ready to move,650,,,200 sqft,S$ 3.25 psf,HDB Apartment,Fully Furnished,,57m
Eight Riversuites,2 Whampoa East,Ready to move,2300,1,1,441 sqft,S$ 5.22 psf,Condominium,Partially Furnished,2016,58m
56 Telok Blangah Heights,56 Telok Blangah Heights,Ready to move,2500,3,2,979 sqft,S$ 2.55 psf,HDB Apartment,Fully Furnished,,58m
Palm Grove Condo,19 Palm Grove Avenue,Ready to move,3000,3,3,1399 sqft,S$ 2.14 psf,Condominium,Fully Furnished,2002,58m
76 Shenton,76 Shenton Way,Ready to move,4000,1,1,624 sqft,S$ 6.41 psf,Apartment,Fully Furnished,2014,58m
The Nautical,99 Jalan Sendudok,Ready to move,2400,2,2,764 sqft,S$ 3.14 psf,Condominium,Fully Furnished,2016,58m
The Blossomvale,900 Dunearn Road,Available from 19 Mar,4500,3,2,1350 sqft,S$ 3.33 psf,Condominium,Fully Furnished,1999,58m
The Imperial,1 Jalan Rumbia,Available from 1 Apr,6500,3,3,1356 sqft,S$ 4.79 psf,Condominium,Partially Furnished,2006,58m
7 Lor 16 Geylang,Geylang Lor 16,Ready to move,4000,2,1,1200 sqft,S$ 3.33 psf,Walk-up,Unfurnished,,58m
City Gate,371 Beach Road,Ready to move,3500,2,2,900 sqft,S$ 3.89 psf,Apartment,Partially Furnished,2019,58m
The Bayshore,22 Bayshore Road,Ready to move,13000,5,4,4090 sqft,S$ 3.18 psf,Condominium,Partially Furnished,1999,58m
Peppermint Grove,45 Newton Road,Ready to move,2400,1,2,600 sqft,S$ 4.00 psf,Walk-up,Fully Furnished,1997,58m
95 Commonwealth Drive,95 Commonwealth Drive,Ready to move,2000,4,1,764 sqft,S$ 2.62 psf,HDB Apartment,Unfurnished,,59m
541 Ang Mo Kio Avenue 10,541 Ang Mo Kio Avenue 10,Available from 31 Mar,2000,2,2,731 sqft,S$ 2.74 psf,HDB Apartment,Fully Furnished,,59m
164 Bukit Batok Street 11,164 Bukit Batok Street 11,Ready to move,1800,2,2,785 sqft,S$ 2.29 psf,HDB Apartment,Fully Furnished,,59m
350 Ang Mo Kio Street 32,350 Ang Mo Kio Street 32,Available from 31 Mar,2500,2,2,1022 sqft,S$ 2.45 psf,HDB Apartment,Fully Furnished,,59m
The Scala @ Lorong Chuan,136 Serangoon Avenue 3,Available from 21 Mar,4500,3,3,1712 sqft,S$ 2.63 psf,Condominium,Partially Furnished,2013,1h
Mackenzie 88,88 Mackenzie Road,Available from 25 Apr,2500,2,1,602 sqft,S$ 4.15 psf,Apartment,Fully Furnished,2010,1h
Mackenzie 88,88 Mackenzie Road,,2200,1,1,462 sqft,S$ 4.76 psf,Apartment,Fully Furnished,2010,1h
Five On Shenton (v On Shenton),5 Shenton Way,Ready to move,5700,2,2,1216 sqft,S$ 4.69 psf,Condominium,Fully Furnished,2017,1h
Bedok Ria,Bedok Ria Crescent,Ready to move,4500,4,3,2906 sqft 1942 sqft (land),S$ 2.32 psf,Terraced House,Fully Furnished,1993,1h
ROOM @ PAYA LEBAR,SANDY LANE,Ready to move,1000,1,2,200 sqft,S$ 5.00 psf,Terraced House,Fully Furnished,,1h
Mackenzie 88,88 Mackenzie Road,Available from 25 Apr,2500,2,1,602 sqft,S$ 4.15 psf,Apartment,Fully Furnished,2010,1h
Mackenzie 88,88 Mackenzie Road,,2200,1,1,462 sqft,S$ 4.76 psf,Apartment,Fully Furnished,2010,1h
Five On Shenton (v On Shenton),5 Shenton Way,Ready to move,5700,2,2,1216 sqft,S$ 4.69 psf,Condominium,Fully Furnished,2017,1h
Bedok Ria,Bedok Ria Crescent,Ready to move,4500,4,3,2906 sqft 1942 sqft (land),S$ 2.32 psf,Terraced House,Fully Furnished,1993,1h
ROOM @ PAYA LEBAR,SANDY LANE,Ready to move,1000,1,2,200 sqft,S$ 5.00 psf,Terraced House,Fully Furnished,,1h
640 Yishun Street 61,640 Yishun Street 61,Ready to move,700,,,200 sqft,S$ 3.50 psf,HDB Apartment,Fully Furnished,,1h
Sommerville Grandeur,1 Farrer Drive,Available from 1 Apr,6000,3,3,1830 sqft,S$ 3.28 psf,Condominium,Partially Furnished,1996,1h
293B Compassvale Crescent,293B Compassvale Crescent,Ready to move,600,,,150 sqft,S$ 4.00 psf,HDB Apartment,Fully Furnished,,1h
138 Bedok North Street 2,138 Bedok North Street 2,Ready to move,700,,,95 sqft,S$ 7.37 psf,HDB Apartment,Fully Furnished,,1h
633A Yishun Street 61,633A Yishun Street 61,Ready to move,1400,5,3,167 sqft,S$ 8.38 psf,HDB Apartment,Fully Furnished,,1h
633 Yishun Street 61,633 Yishun Street 61,Ready to move,800,,,176 sqft,S$ 4.55 psf,HDB Apartment,Fully Furnished,,1h
115 Yishun Ring Road,115 Yishun Ring Road,Ready to move,1600,2,2,797 sqft,S$ 2.01 psf,HDB Apartment,Fully Furnished,,1h
Sky Vue,Bishan Street 14,Ready to move,2500,1,1,495 sqft,S$ 5.05 psf,Condominium,Fully Furnished,2017,1h
Parvis,18 Holland Hill,Ready to move,8500,3,3,1701 sqft,S$ 5.00 psf,Condominium,Partially Furnished,2012,1h
Parc Emily,5 Mount Emily Road,Available from 1 Apr,4500,2,2,1001 sqft,S$ 4.50 psf,Condominium,Partially Furnished,2008,1h
131B Kim Tian Road,131B Kim Tian Road,Ready to move,800,,,120 sqft,S$ 6.67 psf,HDB Apartment,Fully Furnished,,1h
Adam Park Condominium,29A Adam Road,Ready to move,3800,3,3,1141 sqft,S$ 3.33 psf,Condominium,Partially Furnished,2004,1h
226 Lorong 8 Toa Payoh,226 Lorong 8 Toa Payoh,Ready to move,650,,,60 sqft,S$ 10.83 psf,HDB Apartment,Fully Furnished,,1h
EAST COAST ROAD TERRACE HOUSE,EAST COAST ROAD,Ready to move,5300,4,2,3071 sqft 3000 sqft (land),S$ 1.77 psf,Terraced House,Fully Furnished,,1h
No. 6 Cheng Soon Garden,No.6 Cheng Soon Garden,Ready to move,1000,,,200 sqft,S$ 5.00 psf,Semi-Detached House,Fully Furnished,1993,1h
156 Lorong 1 Toa Payoh,156 Lorong 1 Toa Payoh,Ready to move,750,,,130 sqft,S$ 5.77 psf,HDB Apartment,Fully Furnished,,1h
Echelon,9 Alexandra View,Available from 17 Mar,4500,2,2,732 sqft,S$ 6.15 psf,Condominium,Fully Furnished,2016,1h
155 Lorong 1 Toa Payoh,155 Lorong 1 Toa Payoh,Ready to move,900,,,130 sqft,S$ 6.92 psf,HDB Apartment,Fully Furnished,,1h
146 Lorong 2 Toa Payoh,146 Lorong 2 Toa Payoh,Ready to move,800,,,130 sqft,S$ 6.15 psf,HDB Apartment,,,1h
102 Jalan Rajah,102 Jalan Rajah,Ready to move,650,,,100 sqft,S$ 6.50 psf,HDB Apartment,Fully Furnished,,1h
Mi Casa,323 Choa Chu Kang Avenue 3,Ready to move,3150,4,3,1367 sqft,S$ 2.30 psf,Condominium,Fully Furnished,2013,1h
Yunnan Gardens,44 Yunnan Drive 1,Ready to move,5000,4,4,2650 sqft 2500 sqft (land),S$ 2.00 psf,Terraced House,Unfurnished,1999,1h
Richmond Park,3 Bideford Road,Ready to move,4500,2,2,1012 sqft,S$ 4.45 psf,Condominium,,1996,1h
** Stunning Leedon Bungalow w/ Pool **,,Ready to move,12000,3,4,3000 sqft 7000 sqft (land),S$ 1.71 psf,Bungalow House,Partially Furnished,,1h
18A Holland Drive,18A Holland Drive,Ready to move,2500,2,2,720 sqft,S$ 3.47 psf,HDB Apartment,Fully Furnished,,1h
102 Jalan Rajah,102 Jalan Rajah,Ready to move,650,,,100 sqft,S$ 6.50 psf,HDB Apartment,Fully Furnished,,1h
Mi Casa,323 Choa Chu Kang Avenue 3,Ready to move,3150,4,3,1367 sqft,S$ 2.30 psf,Condominium,Fully Furnished,2013,1h
Yunnan Gardens,44 Yunnan Drive 1,Ready to move,5000,4,4,2650 sqft 2500 sqft (land),S$ 2.00 psf,Terraced House,Unfurnished,1999,1h
Richmond Park,3 Bideford Road,Ready to move,4500,2,2,1012 sqft,S$ 4.45 psf,Condominium,,1996,1h
** Stunning Leedon Bungalow w/ Pool **,,Ready to move,12000,3,4,3000 sqft 7000 sqft (land),S$ 1.71 psf,Bungalow House,Partially Furnished,,1h
18A Holland Drive,18A Holland Drive,Ready to move,2500,2,2,720 sqft,S$ 3.47 psf,HDB Apartment,Fully Furnished,,1h
652C Jurong West Street 61,652C Jurong West Street 61,Ready to move,2400,3,2,1184 sqft,S$ 2.03 psf,HDB Apartment,,,1h
The Esta,Amber Gardens,Ready to move,1500,,,1399 sqft,S$ 1.07 psf,Condominium,Fully Furnished,2008,1h
Kingsford . Hillview Peak,101 HILLVIEW RISE,,3300,2,2,1507 sqft,S$ 2.19 psf,Apartment,Fully Furnished,,1h
The Paterson,63 Paterson Road,Available from 30 Apr,5500,3,2,1313 sqft,S$ 4.19 psf,Condominium,Partially Furnished,2004,1h
Thomson Euro-Asia,150 Thomson Road,Available from 20 Mar,4000,3,2,1130 sqft,S$ 3.54 psf,Condominium,Partially Furnished,2002,1h
Seraya Ville,25C Seraya Lane,,3200,3,2,1432 sqft,S$ 2.23 psf,Apartment,Fully Furnished,1992,1h
Principal Garden,99 Prince Charles Crescent,,4000,2,,807 sqft,S$ 4.96 psf,Condominium,,2019,1h
SERANGOON GARDEN ESTATE,CONWAY CIRCLE,Ready to move,10500,5,6,4200 sqft 2607 sqft (land),S$ 4.03 psf,Semi-Detached House,Partially Furnished,2014,1h
Nine Residences,Yishun Avenue 9,Ready to move,2150,2,2,710 sqft,S$ 3.03 psf,Apartment,Partially Furnished,2017,1h
Costa Del Sol,72 Bayshore Road,Ready to move,4700,4,3,1561 sqft,S$ 3.01 psf,Condominium,Partially Furnished,2004,1h
The Sea View,31 Amber Road,Ready to move,11000,4,4,2723 sqft,S$ 4.04 psf,Condominium,Partially Furnished,2008,1h
Riversails,8 Upper Serangoon Crescent,Available from 5 Apr,2400,2,2,882 sqft,S$ 2.72 psf,Condominium,Fully Furnished,2016,1h
The Makena,121 Meyer Road,Available from 1 Apr,5200,3,3,1518 sqft,S$ 3.43 psf,Condominium,Partially Furnished,1998,1h
117B Jalan Tenteram,117B Jalan Tenteram,Ready to move,700,,,110 sqft,S$ 6.36 psf,HDB Apartment,Fully Furnished,,1h
North Park Residences,15 Yishun Central 1,Ready to move,1400,,,280 sqft,S$ 5.00 psf,Apartment,Partially Furnished,2020,1h
The Foresta @ Mount Faber,102 Wishart Road,Available from 1 Apr,3000,1,1,775 sqft,S$ 3.87 psf,Condominium,Fully Furnished,2015,1h
The Foresta @ Mount Faber,102 Wishart Road,Available from 1 May,3050,1,1,646 sqft,S$ 4.72 psf,Condominium,Partially Furnished,2015,1h
76 Shenton,76 Shenton Way,Ready to move,4000,1,1,624 sqft,S$ 6.41 psf,Apartment,Fully Furnished,2014,1h
Dunsfold Drive,,Ready to move,14000,6,6,6100 sqft 6300 sqft (land),S$ 2.22 psf,Detached House,,,1h
Ascentia Sky,1 Alexandra View,Ready to move,6000,4,3,1819 sqft,S$ 3.30 psf,Apartment,Partially Furnished,2014,1h
Bedok Residences,24 Bedok North Drive,Available from 1 Apr,3300,2,1,883 sqft,S$ 3.74 psf,Condominium,Fully Furnished,2015,1h
Visioncrest,33 Oxley Rise,Ready to move,4300,2,2,915 sqft,S$ 4.70 psf,Apartment,Fully Furnished,2007,1h
Skyline Residences,610 Telok Blangah Road,Ready to move,3600,2,2,829 sqft,S$ 4.34 psf,Condominium,Partially Furnished,2015,1h
Castle Green,483 Yio Chu Kang Road,Ready to move,2400,2,2,947 sqft,S$ 2.53 psf,Condominium,Partially Furnished,1997,1h
Castle Green,483 Yio Chu Kang Road,Ready to move,2400,2,2,947 sqft,S$ 2.53 psf,Condominium,Partially Furnished,1997,1h
D'leedon (former Farrer Court),11 Leedon Heights,Available from 15 Mar,1400,,,120 sqft,S$ 11.67 psf,Condominium,Fully Furnished,2014,1h
Kensington Square,2 Jalan Lokam,Available from 1 Apr,2500,2,3,904 sqft,S$ 2.77 psf,Condominium,,2017,1h
320D Anchorvale Drive,320D Anchorvale Drive,Ready to move,2399,3,2,1184 sqft,S$ 2.03 psf,HDB Apartment,Fully Furnished,,1h
430C Fernvale Link,430C Fernvale Link,Ready to move,2100,3,2,947 sqft,S$ 2.22 psf,HDB Apartment,Fully Furnished,,1h
3 Ghim Moh Road,3 Ghim Moh Road,Available from 1 Apr,450,,,70 sqft,S$ 6.43 psf,HDB Apartment,Fully Furnished,,1h
Suites @ Orchard,38 Handy Road,Ready to move,4500,1,1,839 sqft,S$ 5.36 psf,Condominium,Fully Furnished,2015,1h
North Park Residences,15 Yishun Central 1,Ready to move,1850,,,344 sqft,S$ 5.38 psf,Apartment,Partially Furnished,2020,1h
Cube 8,376 Thomson Road,Ready to move,4500,3,3,1335 sqft,S$ 3.37 psf,Condominium,Partially Furnished,2014,1h
Seahill,119 West Coast Crescent,Available from 1 Apr,4300,3,2,1044 sqft,S$ 4.12 psf,Condominium,Partially Furnished,2019,1h
Centro Residences,1 Ang Mo Kio Avenue 8,Ready to move,4300,3,2,1367 sqft,S$ 3.15 psf,Condominium,Partially Furnished,2014,1h
Sky Green,568 Macpherson Green,Ready to move,2100,1,1,474 sqft,S$ 4.43 psf,Condominium,Fully Furnished,2016,1h
The Sail @ Marina Bay,6 Marina Boulevard,Available from 26 Mar,8500,3,3,1938 sqft,S$ 4.39 psf,Apartment,Partially Furnished,2008,1h
368 Thomson,368 Thomson Road,Ready to move,3599,2,2,882 sqft,S$ 4.08 psf,Condominium,Partially Furnished,2014,1h
Grandlink Square,511 Guillemard Road,Ready to move,3200,3,3,1367 sqft,S$ 2.34 psf,Apartment,Partially Furnished,1998,1h
The Rochester,33 Rochester Drive,Ready to move,5100,2,2,1206 sqft,S$ 4.23 psf,Apartment,Fully Furnished,2011,1h
8 8 Saint Thomas,Saint Thomas Walk,Ready to move,3500,1,1,441 sqft,S$ 7.94 psf,Condominium,,2018,1h
20 Saint George's Road,20 Saint George's Road,Ready to move,1100,,,250 sqft,S$ 4.40 psf,HDB Apartment,Fully Furnished,,1h
The Rochester,33 Rochester Drive,Available from 31 Mar,6500,3,4,1701 sqft,S$ 3.82 psf,Apartment,Partially Furnished,2011,1h
442 Choa Chu Kang Avenue 4,442 Choa Chu Kang Avenue 4,Ready to move,600,,,100 sqft,S$ 6.00 psf,HDB Apartment,Fully Furnished,,1h
42 nassim road,,Ready to move,33000,6,6,9800 sqft 16000 sqft (land),S$ 2.06 psf,Good Class Bungalow,Partially Furnished,,1h
