Mandarin Gardens,5 Siglap Road,Ready to move,3900,3,3,1572 sqft,S$ 2.48 psf,Condominium,Partially Furnished,1986,6m
The Nexus,951 Bukit Timah Road,Ready to move,3700,2,2,947 sqft,S$ 3.91 psf,Condominium,Fully Furnished,2007,6m
The Aberdeen,2 Jalan Taman,Ready to move,3300,3,2,1399 sqft,S$ 2.36 psf,Condominium,Fully Furnished,1998,7m
28C Dover Crescent,28C Dover Crescent,Ready to move,900,,,100 sqft,S$ 9.00 psf,HDB Apartment,Fully Furnished,,7m
Regent Heights,52 Bukit Batok East Avenue 5,Available from 1 May,2300,3,2,1023 sqft,S$ 2.25 psf,Condominium,Fully Furnished,1999,7m
Wan Tho Lodge,25 Wan Tho Avenue,Ready to move,3800,4,2,2300 sqft 1545 sqft (land),S$ 2.46 psf,Corner Terrace,Partially Furnished,1966,7m
The Cape,25 Amber Road,Ready to move,4000,2,2,969 sqft,S$ 4.13 psf,Apartment,Partially Furnished,2014,8m
Eon Shenton,70 Shenton Way,Ready to move,3600,2,1,538 sqft,S$ 6.69 psf,Condominium,Partially Furnished,2019,8m
Central Green,9 Jalan Membina,Available from 15 Mar,4900,4,3,1528 sqft,S$ 3.21 psf,Condominium,Fully Furnished,1995,8m
Woodhaven,73 Woodgrove Avenue,Ready to move,2000,2,1,700 sqft,S$ 2.86 psf,Condominium,Fully Furnished,2015,8m
Woodhaven,,Ready to move,1850,1,1,624 sqft,S$ 2.96 psf,Condominium,,2015,8m
Canberra Residences,513 Canberra Drive,Ready to move,2399,2,2,850 sqft,S$ 2.82 psf,Condominium,Fully Furnished,2015,8m
Eight Courtyards,18B Canberra Drive,Ready to move,2800,3,2,958 sqft,S$ 2.92 psf,Condominium,Fully Furnished,2014,8m
Eight Courtyards,12 Canberra Drive,Available from 1 May,2400,3,2,968 sqft,S$ 2.48 psf,Condominium,Partially Furnished,2014,8m
Woodhaven,107 Woodgrove Avenue,Ready to move,6800,4,4,3357 sqft,S$ 2.03 psf,Cluster House,Fully Furnished,2015,8m
Eight Courtyards,18B Canberra Drive,Ready to move,2450,3,3,1087 sqft,S$ 2.25 psf,Condominium,Partially Furnished,2014,8m
The Blossomvale,900 Dunearn Road,Available from 19 Mar,4500,3,3,1350 sqft,S$ 3.33 psf,Condominium,Fully Furnished,1999,8m
Springleaf Garden,Springleaf Drive,Ready to move,4180,4,5,2900 sqft 3550 sqft (land),S$ 1.18 psf,Semi-Detached House,Partially Furnished,,8m
Seletar Garden,16 Cactus Crescent,Available from 8 Jun,4200,6,3,3500 sqft 3885 sqft (land),S$ 1.08 psf,Semi-Detached House,Partially Furnished,,8m
The Paterson Edge,26 Paterson Road,Ready to move,3900,2,2,840 sqft,S$ 4.64 psf,Apartment,Fully Furnished,1999,8m
Symphony Suites,15 Yishun Close,Ready to move,2400,3,2,786 sqft,S$ 3.05 psf,Condominium,,,8m
19 Dover Crescent,19 Dover Crescent,Ready to move,750,,,200 sqft,S$ 3.75 psf,HDB Apartment,Fully Furnished,,8m
Tanglin View,150 Prince Charles Crescent,Ready to move,950,,,986 sqft,S$ 0.96 psf,Condominium,Fully Furnished,2002,8m
Caspian,56 Lakeside Drive,Ready to move,980,1,3,150 sqft,S$ 6.53 psf,Condominium,Fully Furnished,2013,8m
Eight Courtyards,12 Canberra Drive,Available from 1 May,2400,3,2,968 sqft,S$ 2.48 psf,Condominium,Partially Furnished,2014,8m
Woodhaven,107 Woodgrove Avenue,Ready to move,6800,4,4,3357 sqft,S$ 2.03 psf,Cluster House,Fully Furnished,2015,8m
Eight Courtyards,18B Canberra Drive,Ready to move,2450,3,3,1087 sqft,S$ 2.25 psf,Condominium,Partially Furnished,2014,8m
The Blossomvale,900 Dunearn Road,Available from 19 Mar,4500,3,3,1350 sqft,S$ 3.33 psf,Condominium,Fully Furnished,1999,9m
Springleaf Garden,Springleaf Drive,Ready to move,4180,4,5,2900 sqft 3550 sqft (land),S$ 1.18 psf,Semi-Detached House,Partially Furnished,,9m
Seletar Garden,16 Cactus Crescent,Available from 8 Jun,4200,6,3,3500 sqft 3885 sqft (land),S$ 1.08 psf,Semi-Detached House,Partially Furnished,,9m
The Paterson Edge,26 Paterson Road,Ready to move,3900,2,2,840 sqft,S$ 4.64 psf,Apartment,Fully Furnished,1999,9m
Symphony Suites,15 Yishun Close,Ready to move,2400,3,2,786 sqft,S$ 3.05 psf,Condominium,,,9m
19 Dover Crescent,19 Dover Crescent,Ready to move,750,,,200 sqft,S$ 3.75 psf,HDB Apartment,Fully Furnished,,9m
Tanglin View,150 Prince Charles Crescent,Ready to move,950,,,986 sqft,S$ 0.96 psf,Condominium,Fully Furnished,2002,9m
Caspian,56 Lakeside Drive,Ready to move,980,1,3,150 sqft,S$ 6.53 psf,Condominium,Fully Furnished,2013,9m
Tiara,1 Kim Seng Walk,Ready to move,5000,3,2,1281 sqft,S$ 3.90 psf,Apartment,Fully Furnished,1995,9m
bungalow,,Ready to move,9200,6,5,5500 sqft 7500 sqft (land),S$ 1.23 psf,Bungalow House,Partially Furnished,,9m
Coralis,530 Joo Chiat Road,Ready to move,3700,2,2,904 sqft,S$ 4.09 psf,Condominium,Partially Furnished,2014,9m
Silversea,50 Marine Parade Road,Ready to move,14500,4,6,4596 sqft,S$ 3.15 psf,Condominium,Partially Furnished,2014,9m
The Clift,21 McCallum Street,Available from 22 Mar,6200,2,2,1076 sqft,S$ 5.76 psf,Apartment,Fully Furnished,2011,9m
The Clift,21 McCallum Street,Ready to move,4800,1,1,786 sqft,S$ 6.11 psf,Apartment,Fully Furnished,2011,9m
Gideon's Lodge,49A Joo Chiat Lane,Available from 15 Mar,2400,2,2,900 sqft,S$ 2.67 psf,Condominium,Fully Furnished,1992,10m
Le Wilkie,68 Wilkie Road,Available from 1 May,3100,3,2,979 sqft,S$ 3.17 psf,Apartment,,1996,10m
Lincoln Suites,3 Khiang Guan Avenue,Available from 19 Apr,2500,,,463 sqft,S$ 5.40 psf,Condominium,Fully Furnished,2014,10m
570 Choa Chu Kang Street 52,570 Choa Chu Kang Street 52,Available from 30 Mar,850,,,721 sqft,S$ 1.18 psf,HDB Apartment,Partially Furnished,2014,10m
372 Clementi Avenue 4,372 Clementi Avenue 4,Ready to move,2500,3,2,1313 sqft,S$ 1.90 psf,HDB Apartment,Fully Furnished,,10m
325 Clementi Avenue 5,325 Clementi Avenue 5,Ready to move,2300,2,2,721 sqft,S$ 3.19 psf,HDB Apartment,,,10m
Skysuites @ Anson,8 Enggor Street,Ready to move,3800,2,2,699 sqft,S$ 5.44 psf,Condominium,Fully Furnished,2015,10m
Meier Suites,10 Margate Road,Ready to move,7000,4,4,2207 sqft,S$ 3.17 psf,Apartment,Partially Furnished,2011,11m
Spottiswoode Residences,48 Spottiswoode Park Road,Ready to move,6500,3,3,1410 sqft,S$ 4.61 psf,Condominium,Partially Furnished,2014,11m
Domain 21,21 Delta Road,Ready to move,3950,2,2,957 sqft,S$ 4.13 psf,Condominium,Partially Furnished,2007,11m
21 Anderson Royal Oak Residence,21 Anderson Road,Ready to move,9488,4,4,2217 sqft,S$ 4.28 psf,Condominium,,2010,11m
21 Anderson Royal Oak Residence,21 Anderson Road,Ready to move,8500,3,3,1959 sqft,S$ 4.34 psf,Condominium,Partially Furnished,2010,11m
Fernhill Crescent,Fernhill crescent,Ready to move,7000,5,4,1000 sqft 3450 sqft (land),S$ 2.03 psf,Semi-Detached House,Partially Furnished,,11m
Le Wilkie,68 Wilkie Road,Available from 1 May,3100,3,2,979 sqft,S$ 3.17 psf,Apartment,,1996,10m
